"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"3932","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","g"
"3934","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"3936","p","x","s","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3937","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","g"
"3941","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3945","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"3946","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"3947","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","d"
"3948","p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3950","p","x","y","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","g"
"3951","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","y","g"
"3952","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","g"
"3953","p","f","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","g"
"3955","p","x","f","g","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","s","d"
"3956","p","x","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"3957","p","x","y","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"3958","p","f","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","d"
"3959","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d"
"3961","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","d"
"3962","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","d"
"3963","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","d"
"3967","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","g"
"3970","p","x","s","w","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3971","p","x","y","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","p"
"3972","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"3973","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","v","d"
"3974","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d"
"3976","p","x","s","p","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3977","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","g"
"3978","p","x","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"3979","p","x","s","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3980","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d"
"3982","p","x","f","p","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","v","d"
"3985","e","x","y","b","t","n","f","c","b","e","e","b","s","s","e","w","p","w","t","e","w","c","w"
"3988","p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","g"
"3989","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g"
"3991","p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","d"
"3993","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g"
"3994","p","x","f","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d"
"3999","e","f","y","g","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","d"
"4000","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4001","e","f","f","e","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","v","d"
"4002","p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4003","e","f","y","n","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","d"
"4004","e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"4005","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","p"
"4006","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","d"
"4007","e","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4008","p","f","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4009","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","p","p","w","o","p","k","y","d"
"4010","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"4012","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4013","e","x","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4015","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4017","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4018","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4019","e","x","f","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4020","e","x","y","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"4021","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4022","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4023","p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","p"
"4025","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4026","p","x","y","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","g"
"4027","p","x","s","g","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"4028","p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4029","p","f","s","b","t","f","f","c","b","p","t","b","s","f","w","w","p","w","o","p","h","s","g"
"4031","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4032","p","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","s","d"
"4033","p","x","y","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","d"
"4034","e","f","f","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","v","d"
"4035","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4036","p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4038","p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","g"
"4039","p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","d"
"4040","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","d"
"4041","p","x","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4044","p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4045","p","f","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4046","p","x","s","w","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"4047","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4048","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","k","v","d"
"4052","p","x","f","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","v","d"
"4053","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d"
"4054","p","f","f","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4055","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d"
"4056","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4057","p","f","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4060","e","x","f","e","t","n","f","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","d"
"4061","p","x","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","g"
"4062","e","f","f","n","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","d"
"4065","p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","g"
"4068","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4070","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4074","e","f","f","e","t","n","f","c","b","u","t","b","s","s","w","g","p","w","o","p","n","v","d"
"4075","e","f","y","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4076","p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","g"
"4077","e","f","y","u","f","n","f","c","n","h","e","b","s","f","w","w","p","w","o","f","h","y","d"
"4078","e","f","y","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","d"
"4080","p","f","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g"
"4081","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","d"
"4083","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","p"
"4085","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4087","p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","p"
"4088","e","x","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"4090","e","f","y","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d"
"4091","p","x","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","d"
"4092","p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4094","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","k","y","d"
"4095","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4098","p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","p"
"4099","p","x","f","w","f","c","f","c","n","u","e","b","s","s","w","w","p","w","o","p","k","v","d"
"4100","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","d"
"4101","p","x","y","e","f","y","f","c","n","b","t","b","k","s","p","p","p","w","o","e","w","v","d"
"4102","p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4103","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","d"
"4104","e","f","y","g","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","d"
"4107","p","b","s","b","t","n","f","c","b","g","e","b","s","s","w","w","p","w","t","p","r","v","m"
"4108","e","f","f","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d"
"4109","p","f","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4110","e","f","y","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","d"
"4111","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4112","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","g"
"4113","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4116","p","f","f","y","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4117","p","x","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4118","p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","p"
"4119","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","g"
"4120","p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","g"
"4121","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"4124","p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4125","e","f","f","n","t","n","f","c","b","u","t","b","s","s","w","p","p","w","o","p","k","v","d"
"4126","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4129","p","f","y","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4130","e","f","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d"
"4131","p","x","y","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g"
"4132","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4133","p","x","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d"
"4135","e","f","f","g","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","d"
"4136","p","f","y","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4138","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","p"
"4140","p","x","y","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","y","d"
"4141","p","f","f","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","d"
"4142","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d"
"4151","e","f","y","e","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","n","y","d"
"4152","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4154","p","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"4158","p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4160","e","f","y","n","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","k","y","d"
"4161","p","x","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","g"
"4162","e","f","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d"
"4163","p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4164","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","d"
"4165","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4167","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4168","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","y","g"
"4170","p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","g"
"4172","p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4173","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4177","e","f","f","g","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","d"
"4178","p","x","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","p"
"4179","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p"
"4180","e","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d"
"4182","p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d"
"4183","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","y","d"
"4184","e","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","d"
"4185","p","x","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4186","p","x","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4188","e","f","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","d"
"4189","p","x","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4190","p","f","y","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4191","p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","d"
"4192","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4194","p","f","y","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","g"
"4195","p","f","s","b","t","f","f","c","b","w","t","b","f","f","w","w","p","w","o","p","h","s","u"
"4196","e","f","f","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","n","y","d"
"4197","p","x","y","n","f","y","f","c","n","b","t","b","k","k","p","p","p","w","o","e","w","v","d"
"4198","e","x","y","g","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","d"
"4201","p","x","y","n","f","y","f","c","n","b","t","b","s","k","p","w","p","w","o","e","w","v","l"
"4202","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","p"
"4205","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4208","p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","d"
"4209","p","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","d"
"4210","p","x","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","g"
"4211","p","f","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4213","p","f","f","y","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","g"
"4215","p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","g"
"4216","p","x","y","y","f","f","f","c","b","p","e","b","k","k","n","p","p","w","o","l","h","v","g"
"4217","p","f","s","g","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","u"
"4224","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","p"
"4226","p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4228","p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4229","p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4230","p","x","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4231","p","x","f","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","y","d"
"4232","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4233","p","f","s","w","t","f","f","c","b","p","t","b","f","f","w","w","p","w","o","p","h","s","u"
"4234","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","g"
"4235","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","d"
"4236","p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4238","p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","d"
"4241","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4243","p","x","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","d"
"4244","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4245","p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","d"
"4246","p","x","s","w","t","f","f","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","g"
"4247","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","g"
"4249","p","f","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","d"
"4250","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","v","d"
"4253","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","g"
"4254","e","f","y","g","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","y","d"
"4256","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","p"
"4257","p","f","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4258","p","f","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","v","p"
"4259","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","d"
"4260","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","p"
"4261","p","f","f","g","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","y","g"
"4262","p","x","y","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4263","p","x","f","p","f","c","f","c","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d"
"4264","p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4266","p","f","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","g"
"4269","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","v","d"
"4270","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","g"
"4271","p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","v","p"
"4272","p","x","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d"
"4273","p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4278","p","f","f","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4279","p","x","y","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","g"
"4285","p","f","f","y","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"4288","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4290","p","f","y","g","f","f","f","c","b","h","e","b","k","k","p","n","p","w","o","l","h","y","g"
"4291","p","f","y","g","f","f","f","c","b","h","e","b","k","k","n","b","p","w","o","l","h","v","g"
"4293","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","d"
"4294","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","v","p"
"4295","p","f","f","g","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","y","p"
"4297","p","x","f","y","f","f","f","c","b","h","e","b","k","k","n","p","p","w","o","l","h","y","p"
"4301","p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4302","p","x","f","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","d"
"4303","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g"
"4307","p","f","y","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d"
"4308","p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","v","d"
"4309","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","n","p","w","o","l","h","v","g"
"4310","p","x","y","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4313","p","f","f","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","d"
"4314","p","x","f","y","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","g"
"4316","p","f","f","g","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","g"
"4317","p","x","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","d"
"4319","p","f","y","g","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","d"
"4320","p","f","f","g","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","g"
"4321","p","f","y","y","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","g"
"4322","p","f","f","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","y","g"
"4323","p","x","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","p"
"4324","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","y","g"
"4326","p","f","y","g","f","f","f","c","b","p","e","b","k","k","n","b","p","w","o","l","h","v","p"
"4331","p","f","y","y","f","f","f","c","b","h","e","b","k","k","b","n","p","w","o","l","h","v","d"
"4332","p","k","y","n","f","n","f","c","n","w","e","b","k","y","w","n","p","w","o","e","w","v","d"
"4335","p","x","y","g","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","g"
"4336","p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","p","p","w","o","l","h","y","g"
"4337","p","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","d"
"4340","p","x","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g"
"4342","e","f","y","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d"
"4343","p","f","f","y","f","f","f","c","b","h","e","b","k","k","n","n","p","w","o","l","h","y","p"
"4345","p","f","f","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g"
"4348","p","f","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","v","g"
"4349","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","g"
"4351","p","x","y","g","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","g"
"4352","p","x","y","y","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"4353","p","f","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","p"
"4355","p","f","f","y","f","f","f","c","b","p","e","b","k","k","p","b","p","w","o","l","h","v","d"
"4359","p","f","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","d"
"4361","p","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","y","d"
"4362","p","x","y","y","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","y","p"
"4364","p","x","f","y","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","g"
"4365","p","b","y","w","t","n","f","w","n","w","e","b","s","s","w","w","p","w","o","p","w","c","l"
